INDEX,DCOP,VENDOR_LOT,DATE_TIME,Device,PART_NO,VENDOR_CODE,APPHA_TEST,B_POD_2,B_POD_3,B_VIA_L12,B_VIA_L23,B_VIA_L34,B1C_WIDTH,BUMP_OP_D,C_BX1,C_BY1,C4_COPLAN,C4_HEIGHT,C4_VOID,CU_L1,CU_L2,CU_L3,CU_L4,CU_ROUGHNE,CZ_EA_1,D_PX1,D_PY1,HD_DIAMETE,HOL_SHIFT,HP_HOLE,INS_L12,INS_L23,INS_L34,L_LENGTH,L_T_L_REG,M_BALL_POD,M1_T_S,OS_BUMP,OSP_T,P1C_TRACE,PIN_HOLE_S,POP_P_POD,PX_UNIT,PY_UNIT,R_SHIFT,RD,S_WARPAGE,S1_TRACE,SM_B_SHT_X,SM_B_SHT_Y,SM_B_THICK,SM_T_SHT_X,SM_T_SHT_Y,SM_T_THICK,SMCR_MTK_A,SMCR_MTK_E,SMEAR_RSD,SR_M_DAM_H,SR_M_DAM_S,SR_M_DAM_W,SR_U_CU,T_S_THICK,T_VIA_L12,T_VIA_L23,T_VIA_L34,T1_WIDTH,TO_YIEL,VIA_VOID,VOID_CU_P,VOID_CU_W,W_WIDTH,IsolationForest predur
22,V_MTK_MFC1,Q52209032601,20220408,23D,1227199102,ZDT,0.002,0.0015,0.0035,-3.3,-1.52,-2.16,1.8,1.54,0.002,0.001,10.18,-8.144,5.44,1.1,2.32,2.8,2.02,-0.043,-0.193,0.002,-0.002,-0.0315,-0.008,0.051,0.84,1.52,0.84,0.059,51.32,0.005,0.88,6.105,-0.047,-0.05,0.068,0.0025,-0.0005,0.0105,4.8,0.75,0.12,-0.32,15.66,14.13,-2.3,7.98,9.88,-0.08,2.13,5.4,22.5,-1.18,-0.011,0.008,9,0.0185,2.26,1,1.02,-0.18,-6.03,9,14.84,40.76,0.058,-1
13,V_MTK_MFC1,A66-FL2000FC,20220421,23D,1227199101,KIT,,0.0005,-0.0015,3.083,0.4,1.2,1.68,-0.54,0.001,0,1.61,0.951,7.5,1.82,-1.44,-1.96,-0.26,-0.058,-0.123,0.006,0.004,-0.0125,0.047,0.026,2,2.02,1.96,0.0275,7.5,-0.001,3.624,6.815,-0.06,-0.41,0.049,0.0035,0.0045,0.0035,4.904,0.03,1.139,-1,15.2,15,0.54,8.69,9.65,0.52,2.5,6.5,20.096,-2.03,-0.001,-0.006,7.894,-0.0075,7.55,3.633,5.283,1.06,-11.87,9,16.004,46.204,0.021,-1
14,V_MTK_MFC1,A66-FL2000FE,20220421,23D,1227199101,KIT,,-0.0015,-0.0025,-0.683,2.65,-1.233,0.92,-0.24,0.003,-0.003,1.27,1.682,7.5,0.48,-1.84,-1.68,0.48,-0.041,-0.123,0.007,0.006,-0.0045,0.022,0.025,2.94,3.46,3,0.0205,30.5,-0.001,5.756,5.935,-0.074,-0.05,0.065,0.0035,0.0005,0.0025,5.244,-0.75,1.046,-0.6,15.6,16.4,0.24,7.81,9.25,-1.32,0.5,6.4,22.5,-2.56,-0.004,-0.004,7.896,-0.0015,3.783,7.567,5.267,0.76,-12.49,9,16.918,42.492,-0.002,-1
12,V_MTK_MFC1,A66-FL2000FB,20220422,23D,1227199101,KIT,,-0.0005,0.0005,-0.25,-0.8,-1.3,-1.24,-0.67,0,0.002,6.59,,7.5,-1.13,0.06,0.72,-1.51,-0.11,-0.123,0.006,0.004,0.003,0.034,-0.016,0.77,0.34,0.62,-0.012,32.5,-0.001,4.346,-0.9,-0.062,1.01,-0.005,0.0045,-0.001,-0.005,5.342,-0.49,-0.1,1.5,16.8,15.6,1,9.15,9.25,-0.68,2.4,6,15.59,0.355,0,-0.001,7.704,0.002,4.15,1.2,4.483,-0.97,-9.36,9,17.252,42.856,-0.021,-1
21,V_MTK_MFC1,A66-FL200FBA,20220422,23D,1227199101,KIT,,-0.0015,-0.0005,1.333,0.017,-1.617,-1.52,-0.65,0.001,0.001,5.79,,7.5,0.49,0.02,1.32,0.11,-0.086,-0.123,0.005,0.005,0.004,0.042,-0.01,0.43,-0.76,-0.78,-0.008,32.5,-0.003,4.924,-1.04,-0.056,1.49,0.005,0.0035,-0.002,-0.001,5.258,-0.57,-0.116,1.06,17,15.4,0.46,9.29,8.25,-0.38,2.4,6,22.5,0.765,0,-0.001,7.84,0.001,6.983,5.633,5.633,-0.57,-0.81,9,16.906,45.23,-0.014,-1
25,V_MTK_MFC1,Q52213019901,20220502,23D,1227199102,ZDT,0.002,0.0025,0.0035,-4.1,-4.86,-3.12,1.82,0.3,0,-0.001,12.468,2.42,4.96,-0.46,1.24,-0.84,0.36,-0.095,0.037,0.001,-0.001,-0.0365,0.045,0.053,0.82,1.6,2.64,0.091,48.58,0.004,2.38,6.495,-0.013,0.41,0.068,-0.0015,-0.0035,0.0085,5.18,0.77,-0.204,1.18,13.7,15.74,0.48,8.37,9.4,-3,2.77,5.18,22.5,-0.82,-0.01,0.005,9,0.0105,0.8,0.42,0.66,-0.56,-13.82,9,14.82,39.3,0.076,-1
15,V_MTK_MFC1,A66-FL2000FF,20220506,23D,1227199101,KIT,,-0.0015,-0.0025,-0.233,0.933,1.25,-1.14,-0.71,-0.003,0.002,-0.61,0.373,7.5,0.31,1.82,2.04,0.93,-0.098,-0.123,0.006,0.006,-0.004,0.048,-0.021,-1.85,-1.28,-1.26,-0.027,44.5,-0.004,6.984,0.3,-0.046,0.43,-0.002,0.0045,-0.002,-0.004,4.974,-0.37,-0.196,0.34,17.4,16,1.32,7.95,9.25,-0.14,2.4,4,22.5,2.035,0.004,-0.003,8.442,0.002,7.4,5.05,2.55,-0.49,-12.38,9,14.624,45.76,-0.011,-1
23,V_MTK_MFC1,Q52212019201,20220508,23D,1227199102,ZDT,0.002,0.0035,0.0005,-4.12,-3.62,-1.1,-0.03,-0.54,-0.003,0,-0.032,1.188,-0.26,0.4,0.16,-0.08,1.4,-0.039,0.067,-0.002,0.002,0.005,0.029,-0.003,1.67,-0.1,1.16,0.039,54.28,0.006,2.48,-1.905,-0.02,0.41,0.068,-0.0035,0.001,0,5.22,0.51,-0.042,1.28,15,13.22,0.38,10.08,10.13,-2.08,2.99,5.46,22.5,-0.66,-0.015,0.006,8.44,0.0125,0.16,0.9,3.4,-0.03,-13.34,9,16.5,38.66,0.065,1
24,V_MTK_MFC1,Q52212019301,20220509,23D,1227199102,ZDT,0.002,0.0065,0.0005,-3.72,-3.96,-4.46,0.51,-3.16,-0.001,0.001,6.274,2.232,0.06,-0.64,0.68,0.56,0.6,-0.021,0.067,-0.005,0.001,0.002,0.04,0.012,1.81,0.04,0.92,0.084,55.84,0.007,2.2,-0.585,-0.028,0.09,0.068,-0.0045,0.006,0,4.9,0.51,-0.21,1,16.18,13.62,-0.8,8.76,9.89,-2.1,2.35,6.41,22.5,-0.76,-0.011,0,9,0.0135,1.56,2.04,2.92,0.31,-16.27,9,16.64,40.06,0.059,-1
26,V_MTK_MFC1,Q52214046301,20220510,23D,1227199102,ZDT,0.002,0.0025,0.0035,-5.7,-3.04,-2.78,-0.01,-0.44,-0.002,0,1.252,2.586,-0.92,-0.42,1.64,0.2,0.18,-0.099,0.077,-0.004,0.005,0,0.022,0.002,0.13,0.36,-0.64,,52.04,0,1.48,0.335,-0.033,-0.71,0.068,-0.0045,0.007,0,4.66,-0.05,0.924,0.28,17.61,16.61,-1.9,7.84,9.37,-1.4,1.71,5.07,22.5,-1.7,-0.006,0.005,9,0.0125,0.26,0.12,4.68,0.27,-10.56,9,14.96,38.76,0.055,-1
